Title,director,duration,actor_1,actor_2,actor_3,gross,genres,plot_keywords,budget,year,keywords,combination
Se7en,David Fincher,127,Morgan Freeman,Brad Pitt,Reg E. Cathey,100125340,Crime Drama Mystery Thriller,detective police partner serial killer serial murder seven deadly sins,33000000,1995,detective police partner serial killer murder seven deadly sin,DavidFincher MorganFreeman BradPitt RegE.Cathey Crime Drama Mystery Thriller detective police partner serial killer murder seven deadly sin
District 9,Neill Blomkamp,112,Sharlto Copley,Jed Brophy,Jason Cope,115646235,Action Sci-Fi Thriller,alien ghetto prawn refugee refugee camp,30000000,2009,alien ghetto prawn refugee camp,NeillBlomkamp SharltoCopley JedBrophy JasonCope Action Sci-Fi Thriller alien ghetto prawn refugee camp
The SpongeBob SquarePants Movie,Stephen Hillenburg,87,Scarlett Johansson,Bill Fagerbakke,Rodger Bumpass,85416609,Adventure Animation Comedy Family Fantasy,based on tv series crown dream king neptune plankton,30000000,2004,based tv series crown dream king neptune plankton,StephenHillenburg ScarlettJohansson BillFagerbakke RodgerBumpass Adventure Animation Comedy Family Fantasy based tv series crown dream king neptune plankton
Mystic River,Clint Eastwood,138,John Doman,Spencer Treat Clark,Tom Guiry,90135191,Crime Drama Mystery Thriller,ballistics detective friend gun sexual abuse,25000000,2003,ballistics detective friend gun sexual abuse,ClintEastwood JohnDoman SpencerTreatClark TomGuiry Crime Drama Mystery Thriller ballistics detective friend gun sexual abuse
Million Dollar Baby,Clint Eastwood,132,Clint Eastwood,Morgan Freeman,Mike Colter,100422786,Drama Sport,boxing boxing trainer death suicide attempt women boxing,30000000,2004,boxing trainer death suicide attempt woman,ClintEastwood ClintEastwood MorganFreeman MikeColter Drama Sport boxing trainer death suicide attempt woman
Analyze This,Harold Ramis,103,Robert De Niro,Chazz Palminteri,Molly Shannon,106694016,Comedy Crime,analyst mafia patient psychiatrist wedding,30000000,1999,analyst mafia patient psychiatrist wedding,HaroldRamis RobertDeNiro ChazzPalminteri MollyShannon Comedy Crime analyst mafia patient psychiatrist wedding
The Notebook,Nick Cassavetes,123,Ryan Gosling,Kevin Connolly,Gena Rowlands,64286,Drama Romance,class differences letter nursing home second chance summer love,29000000,2004,class difference letter nursing home second chance summer love,NickCassavetes RyanGosling KevinConnolly GenaRowlands Drama Romance class difference letter nursing home second chance summer love
27 Dresses,Anne Fletcher,111,Judy Greer,Bern Cohen,Yetta Gottesman,76806312,Comedy Romance,boss bridesmaid friend love wedding,30000000,2008,bos bridesmaid friend love wedding,AnneFletcher JudyGreer BernCohen YettaGottesman Comedy Romance bos bridesmaid friend love wedding
Hannah Montana: The Movie,Peter Chelsom,102,Emily Osment,Vanessa Williams,Moises Arias,79566871,Comedy Drama Family Music Romance,farm female protagonist hannah montana horseback riding overalls,30000000,2009,farm female protagonist hannah montana horseback riding overall,PeterChelsom EmilyOsment VanessaWilliams MoisesArias Comedy Drama Family Music Romance farm female protagonist hannah montana horseback riding overall
Rugrats in Paris: The Movie,Stig Bergqvist,78,Elizabeth Daily,Casey Kasem,Debbie Reynolds,76501438,Adventure Animation Comedy Family Romance,amusement park baby france paris france villain,30000000,2000,amusement park baby france paris villain,StigBergqvist ElizabethDaily CaseyKasem DebbieReynolds Adventure Animation Comedy Family Romance amusement park baby france paris villain
The Prince of Tides,Barbra Streisand,132,George Carlin,Blythe Danner,Melinda Dillon,74787599,Drama Romance,new york psychiatrist shrimper south carolina twins,30000000,1991,new york psychiatrist shrimper south carolina twin,BarbraStreisand GeorgeCarlin BlytheDanner MelindaDillon Drama Romance new york psychiatrist shrimper south carolina twin
Legends of the Fall,Edward Zwick,133,Anthony Hopkins,Brad Pitt,Julia Ormond,66528842,Drama Romance War Western,epic heart killing an animal passion usa,30000000,1994,epic heart killing animal passion usa,EdwardZwick AnthonyHopkins BradPitt JuliaOrmond Drama Romance War Western epic heart killing animal passion usa
Up in the Air,Jason Reitman,108,J.K. Simmons,Anna Kendrick,Chris Lowell,83813460,Drama Romance,airport business trip downsizing on the road travel,25000000,2009,airport business trip downsizing road travel,JasonReitman J.K.Simmons AnnaKendrick ChrisLowell Drama Romance airport business trip downsizing road travel
About Schmidt,Alexander Payne,125,Hope Davis,June Squibb,Howard Hesseman,65010106,Comedy Drama,highway travel on the road retirement road movie wedding,30000000,2002,highway travel road retirement movie wedding,AlexanderPayne HopeDavis JuneSquibb HowardHesseman Comedy Drama highway travel road retirement movie wedding
Warm Bodies,Jonathan Levine,98,Cory Hardrict,Vincent Leclerc,Daniel Rindress-Kay,66359959,Comedy Horror Romance,fight memory teenager undead zombie,35000000,2013,fight memory teenager undead zombie,JonathanLevine CoryHardrict VincentLeclerc DanielRindress-Kay Comedy Horror Romance fight memory teenager undead zombie
Looper,Rian Johnson,119,Joseph Gordon-Levitt,Bruce Willis,Tracie Thoms,66468315,Action Crime Drama Sci-Fi Thriller,chase future surprise ending time loop time travel,30000000,2012,chase future surprise ending time loop travel,RianJohnson JosephGordon-Levitt BruceWillis TracieThoms Action Crime Drama Sci-Fi Thriller chase future surprise ending time loop travel
Down to Earth,Chris Weitz,87,Chazz Palminteri,Mark Addy,Wanda Sykes,64172251,Comedy Fantasy,angel butler heaven manhattan new york city reincarnation,30000000,2001,angel butler heaven manhattan new york city reincarnation,ChrisWeitz ChazzPalminteri MarkAddy WandaSykes Comedy Fantasy angel butler heaven manhattan new york city reincarnation
Babe,Chris Noonan,91,Miriam Margolyes,Christine Cavanaugh,Roscoe Lee Browne,66600000,Comedy Drama Family,dog farmer pig sheep sheepdog,30000000,1995,dog farmer pig sheep sheepdog,ChrisNoonan MiriamMargolyes ChristineCavanaugh RoscoeLeeBrowne Comedy Drama Family dog farmer pig sheep sheepdog
Hope Springs,David Frankel,100,Meryl Streep,Steve Carell,Jean Smart,63536011,Comedy Drama Romance,couple intimacy marriage marriage counseling middle age couple,30000000,2012,couple intimacy marriage counseling middle age,DavidFrankel MerylStreep SteveCarell JeanSmart Comedy Drama Romance couple intimacy marriage counseling middle age
Forgetting Sarah Marshall,Nicholas Stoller,118,Mila Kunis,Jack McBrayer,Maria Thayer,62877175,Comedy Drama Romance,breakup hawaii hotel male full frontal nudity resort,30000000,2008,breakup hawaii hotel male full frontal nudity resort,NicholasStoller MilaKunis JackMcBrayer MariaThayer Comedy Drama Romance breakup hawaii hotel male full frontal nudity resort
Friday Night Lights,,44,Zach Gilford,Aimee Teegarden,Scott Porter,61255921,Drama Sport,football football coach high school small town texas,30000000,2004,football coach high school small town texas, ZachGilford AimeeTeegarden ScottPorter Drama Sport football coach high school small town texas
Four Brothers,John Singleton,109,Josh Charles,Tony Nappo,Fionnula Flanagan,74484168,Action Crime Drama Mystery Thriller,bare butt corrupt police four brothers funeral murder,45000000,2005,bare butt corrupt police four brother funeral murder,JohnSingleton JoshCharles TonyNappo FionnulaFlanagan Action Crime Drama Mystery Thriller bare butt corrupt police four brother funeral murder
Baby Mama,Michael McCullers,99,Tina Fey,Amy Poehler,Romany Malco,60269340,Comedy Romance,baby book cartoon on tv female protagonist male anorexia,30000000,2008,baby book cartoon tv female protagonist male anorexia,MichaelMcCullers TinaFey AmyPoehler RomanyMalco Comedy Romance baby book cartoon tv female protagonist male anorexia
Hope Floats,Forest Whitaker,114,Bill Cobbs,Harry Connick Jr.,Gena Rowlands,60033780,Drama Romance,best friend friend mother daughter relationship small town texas,30000000,1998,best friend mother daughter relationship small town texas,ForestWhitaker BillCobbs HarryConnickJr. GenaRowlands Drama Romance best friend mother daughter relationship small town texas
Bride Wars,Gary Winick,89,Anne Hathaway,Steve Howey,Candice Bergen,58715510,Comedy Romance,best friend dyed hair fake tan rivalry wedding,30000000,2009,best friend dyed hair fake tan rivalry wedding,GaryWinick AnneHathaway SteveHowey CandiceBergen Comedy Romance best friend dyed hair fake tan rivalry wedding
Without a Paddle,Steven Brill,95,Antony Starr,Scott Adsit,Bonnie Somerville,58156435,Adventure Comedy Mystery,death friend hijacker river tree house,19000000,2004,death friend hijacker river tree house,StevenBrill AntonyStarr ScottAdsit BonnieSomerville Adventure Comedy Mystery death friend hijacker river tree house
13 Going on 30,Gary Winick,98,Jennifer Garner,Judy Greer,Christa B. Allen,56044241,Comedy Fantasy Romance,13 year old 13th birthday 30 year old wish year 1987,37000000,2004,13 year old 13th birthday 30 wish 1987,GaryWinick JenniferGarner JudyGreer ChristaB.Allen Comedy Fantasy Romance 13 year old 13th birthday 30 wish 1987
Midnight in Paris,Woody Allen,94,Kurt Fuller,Audrey Fleurot,Nina Arianda,56816662,Comedy Fantasy Romance,1920s golden age midnight paris france time travel romance,17000000,2011,1920s golden age midnight paris france time travel romance,WoodyAllen KurtFuller AudreyFleurot NinaArianda Comedy Fantasy Romance 1920s golden age midnight paris france time travel romance
The Nut Job,Peter Lepeniotis,85,Liam Neeson,Brendan Fraser,Sarah Gadon,64238770,Adventure Animation Comedy Family,bank robbery heist raccoon rat squirrel,42000000,2014,bank robbery heist raccoon rat squirrel,PeterLepeniotis LiamNeeson BrendanFraser SarahGadon Adventure Animation Comedy Family bank robbery heist raccoon rat squirrel
Blow,Ted Demme,124,Johnny Depp,Ethan Suplee,Jordi Mollà,52937130,Biography Crime Drama,1960s 1970s california cocaine wealth,30000000,2001,1960s 1970s california cocaine wealth,TedDemme JohnnyDepp EthanSuplee JordiMollà Biography Crime Drama 1960s 1970s california cocaine wealth
Message in a Bottle,Luis Mandoki,131,Robin Wright,John Savage,Raphael Sbarge,52799004,Drama Romance,beach bottle jogging letter love,55000000,1999,beach bottle jogging letter love,LuisMandoki RobinWright JohnSavage RaphaelSbarge Drama Romance beach bottle jogging letter love
Star Trek V: The Final Frontier,William Shatner,107,Leonard Nimoy,Nichelle Nichols,Walter Koenig,55210049,Action Adventure Sci-Fi Thriller,captain half brother klingon planet vulcan,27800000,1989,captain half brother klingon planet vulcan,WilliamShatner LeonardNimoy NichelleNichols WalterKoenig Action Adventure Sci-Fi Thriller captain half brother klingon planet vulcan
Like Mike,John Schultz,99,Brenda Song,Robert Forster,Anne Meara,51432423,Comedy Family Fantasy Sport,basketball lightning nba orphanage shoe,30000000,2002,basketball lightning nba orphanage shoe,JohnSchultz BrendaSong RobertForster AnneMeara Comedy Family Fantasy Sport basketball lightning nba orphanage shoe
Naked Gun 33 1/3: The Final Insult,Peter Segal,83,George Kennedy,Fred Ward,Priscilla Presley,51109400,Comedy Crime,retirement spoof terrorist transsexual undercover,30000000,1994,retirement spoof terrorist transsexual undercover,PeterSegal GeorgeKennedy FredWard PriscillaPresley Comedy Crime retirement spoof terrorist transsexual undercover
A View to a Kill,John Glen,131,Patrick Macnee,Alison Doody,Tanya Roberts,50300000,Action Adventure Thriller,computer earthquake microchip official james bond series silicon valley,30000000,1985,computer earthquake microchip official james bond series silicon valley,JohnGlen PatrickMacnee AlisonDoody TanyaRoberts Action Adventure Thriller computer earthquake microchip official james bond series silicon valley
The Curse of the Were-Rabbit,Steve Box,85,Mark Gatiss,Geraldine McEwan,Peter Sallis,56068547,Animation Comedy Family Mystery Sci-Fi,competition giant vegetable pest control stop motion animation vegetable,30000000,2005,competition giant vegetable pest control stop motion animation,SteveBox MarkGatiss GeraldineMcEwan PeterSallis Animation Comedy Family Mystery Sci-Fi competition giant vegetable pest control stop motion animation
P.S. I Love You,Richard LaGravenese,126,Gerard Butler,Harry Connick Jr.,Nellie McKay,53680848,Drama Romance,birthday friendship hairy chest letter widow,30000000,2007,birthday friendship hairy chest letter widow,RichardLaGravenese GerardButler HarryConnickJr. NellieMcKay Drama Romance birthday friendship hairy chest letter widow
Racing Stripes,Frederik Du Chau,102,Bruce Greenwood,Frankie Muniz,M. Emmet Walsh,49186871,Adventure Comedy Drama Family Sport,farm horse kentucky racehorse zebra,30000000,2005,farm horse kentucky racehorse zebra,FrederikDuChau BruceGreenwood FrankieMuniz M.EmmetWalsh Adventure Comedy Drama Family Sport farm horse kentucky racehorse zebra
Atonement,Joe Wright,123,Benedict Cumberbatch,Alfie Allen,Brenda Blethyn,50921738,Drama Mystery Romance War,death of sister dying loss of virginity septicemia sex,30000000,2007,death sister dying loss virginity septicemia sex,JoeWright BenedictCumberbatch AlfieAllen BrendaBlethyn Drama Mystery Romance War death sister dying loss virginity septicemia sex
Letters to Juliet,Gary Winick,105,Vanessa Redgrave,Marcia DeBonis,Luisa Ranieri,53021560,Comedy Drama Romance,chick flick female protagonist italian stereotype man in a swimsuit verona italy,30000000,2010,chick flick female protagonist italian stereotype man swimsuit verona italy,GaryWinick VanessaRedgrave MarciaDeBonis LuisaRanieri Comedy Drama Romance chick flick female protagonist italian stereotype man swimsuit verona italy
Black Rain,Ridley Scott,125,Stephen Root,Ken Takakura,Kate Capshaw,45645204,Action Crime Thriller,counterfeit detective japan police chase yakuza,30000000,1989,counterfeit detective japan police chase yakuza,RidleyScott StephenRoot KenTakakura KateCapshaw Action Crime Thriller counterfeit detective japan police chase yakuza
The Three Stooges,Bobby Farrelly,92,Kate Upton,Larry David,Sean Hayes,44328238,Comedy,mule nun orphanage tennis court the three stooges,30000000,2012,mule nun orphanage tennis court three stooge,BobbyFarrelly KateUpton LarryDavid SeanHayes Comedy mule nun orphanage tennis court three stooge
Corpse Bride,Tim Burton,77,Johnny Depp,Christopher Lee,Joanna Lumley,53337608,Animation Drama Family Fantasy Musical Romance,arranged marriage bride corpse groom woods,40000000,2005,arranged marriage bride corpse groom wood,TimBurton JohnnyDepp ChristopherLee JoannaLumley Animation Drama Family Fantasy Musical Romance arranged marriage bride corpse groom wood
Glory Road,James Gartner,118,Mehcad Brooks,Austin Nichols,Derek Luke,42643187,Biography Drama Sport,coach college basketball national championship ncaa texas,0,2006,coach college basketball national championship ncaa texas,JamesGartner MehcadBrooks AustinNichols DerekLuke Biography Drama Sport coach college basketball national championship ncaa texas
Sicario,Denis Villeneuve,121,Edgar Arreola,Bernardo Saracino,Daniel Kaluuya,46875468,Action Crime Drama Mystery Thriller,critically acclaimed drug cartel juarez mexico u.s. mexico border war on drugs,30000000,2015,critically acclaimed drug cartel juarez mexico u border war,DenisVilleneuve EdgarArreola BernardoSaracino DanielKaluuya Action Crime Drama Mystery Thriller critically acclaimed drug cartel juarez mexico u border war
Southpaw,Antoine Fuqua,124,Jake Gyllenhaal,50 Cent,Oona Laurence,52418902,Drama Sport,boxer boxing training death of wife male in shower rage,30000000,2015,boxer boxing training death wife male shower rage,AntoineFuqua JakeGyllenhaal 50Cent OonaLaurence Drama Sport boxer boxing training death wife male shower rage
Drag Me to Hell,Sam Raimi,99,Bojana Novakovic,Alison Lohman,Reggie Lee,42057340,Horror Thriller,evil fight hell psychic psychologist,30000000,2009,evil fight hell psychic psychologist,SamRaimi BojanaNovakovic AlisonLohman ReggieLee Horror Thriller evil fight hell psychic psychologist
The Age of Adaline,Lee Toland Krieger,112,Harrison Ford,Michiel Huisman,Ellen Burstyn,42478175,Drama Fantasy Romance,hit by a pickup truck immortality paramedic resuscitation san francisco california,25000000,2015,hit pickup truck immortality paramedic resuscitation san francisco california,LeeTolandKrieger HarrisonFord MichielHuisman EllenBurstyn Drama Fantasy Romance hit pickup truck immortality paramedic resuscitation san francisco california
Secondhand Lions,Tim McCanlies,111,Haley Joel Osment,Robert Duvall,Emmanuelle Vaugier,41407470,Comedy Drama Family,africa eyeglasses money texas veteran,30000000,2003,africa eyeglass money texas veteran,TimMcCanlies HaleyJoelOsment RobertDuvall EmmanuelleVaugier Comedy Drama Family africa eyeglass money texas veteran
Step Up 3D,Jon M. Chu,107,Alyson Stoner,Stephen Boss,Facundo Lombard,42385520,Drama Music Romance,dance dance crew dancer mortgage new york city,30000000,2010,dance crew dancer mortgage new york city,JonM.Chu AlysonStoner StephenBoss FacundoLombard Drama Music Romance dance crew dancer mortgage new york city
Blue Crush,John Stockwell,104,Faizon Love,Mika Boorem,Sanoe Lake,40118420,Drama Romance Sport,bikini female surfer sister sister relationship surfing contest swimsuit,30000000,2002,bikini female surfer sister relationship surfing contest swimsuit,JohnStockwell FaizonLove MikaBoorem SanoeLake Drama Romance Sport bikini female surfer sister relationship surfing contest swimsuit
Stranger Than Fiction,Marc Forster,113,Will Ferrell,Christian Stolte,Danny Rhodes,40137776,Comedy Drama Fantasy Romance,author fate novelist professor writer,38000000,2006,author fate novelist professor writer,MarcForster WillFerrell ChristianStolte DannyRhodes Comedy Drama Fantasy Romance author fate novelist professor writer
30 Days of Night,David Slade,113,Danny Huston,Mark Rendall,Megan Franich,39568996,Horror,alaska small town snow vampire winter,32000000,2007,alaska small town snow vampire winter,DavidSlade DannyHuston MarkRendall MeganFranich Horror alaska small town snow vampire winter
The Cabin in the Woods,Drew Goddard,95,Chris Hemsworth,Bradley Whitford,Kristen Connolly,42043633,Fantasy Horror Mystery Thriller,cabin in the woods dark humor hatchet killed in an elevator robot,30000000,2012,cabin wood dark humor hatchet killed elevator robot,DrewGoddard ChrisHemsworth BradleyWhitford KristenConnolly Fantasy Horror Mystery Thriller cabin wood dark humor hatchet killed elevator robot
Meet the Spartans,Jason Friedberg,86,Carmen Electra,Diedrich Bader,Method Man,38232624,Comedy,king persian spartan training xerxes,30000000,2008,king persian spartan training xerxes,JasonFriedberg CarmenElectra DiedrichBader MethodMan Comedy king persian spartan training xerxes
Midnight Run,Martin Brest,126,Robert De Niro,Yaphet Kotto,Philip Baker Hall,38413606,Action Comedy Crime Thriller,accountant bounty hunter fbi mafia mob,30000000,1988,accountant bounty hunter fbi mafia mob,MartinBrest RobertDeNiro YaphetKotto PhilipBakerHall Action Comedy Crime Thriller accountant bounty hunter fbi mafia mob
The Running Man,Paul Michael Glaser,101,Yaphet Kotto,Maria Conchita Alonso,Richard Dawson,38122105,Action Crime Sci-Fi Thriller,game of death government conspiracy latina oppression police,27000000,1987,game death government conspiracy latina oppression police,PaulMichaelGlaser YaphetKotto MariaConchitaAlonso RichardDawson Action Crime Sci-Fi Thriller game death government conspiracy latina oppression police
Little Shop of Horrors,Frank Oz,102,Bill Murray,Jim Belushi,Tisha Campbell-Martin,38747385,Comedy Horror Musical Sci-Fi,eclipse florist nerd plant shop,25000000,1986,eclipse florist nerd plant shop,FrankOz BillMurray JimBelushi TishaCampbell-Martin Comedy Horror Musical Sci-Fi eclipse florist nerd plant shop
Hanna,Joe Wright,111,Jessica Barden,Vicky Krieps,John Macmillan,40247512,Action Drama Thriller,assassin female warrior martial arts playground training,30000000,2011,assassin female warrior martial art playground training,JoeWright JessicaBarden VickyKrieps JohnMacmillan Action Drama Thriller assassin female warrior martial art playground training
The Family,,60,Zach Gilford,Joan Allen,Liam James,0,Drama Mystery,family drama lie missing child political campaign secret,0,1987,family drama lie missing child political campaign secret, ZachGilford JoanAllen LiamJames Drama Mystery family drama lie missing child political campaign secret
Mortal Kombat: Annihilation,John R. Leonetti,95,Brian Thompson,Talisa Soto,Robin Shou,35927406,Action Adventure Fantasy Sci-Fi Thriller,alternate reality battle martial arts mortal kombat warrior,30000000,1997,alternate reality battle martial art mortal kombat warrior,JohnR.Leonetti BrianThompson TalisaSoto RobinShou Action Adventure Fantasy Sci-Fi Thriller alternate reality battle martial art mortal kombat warrior
Larry Crowne,Tom Hanks,98,Tom Hanks,Rob Riggle,Randall Park,35565975,Comedy Drama Romance,bus stop college community college scooter speech class,30000000,2011,bus stop college community scooter speech class,TomHanks TomHanks RobRiggle RandallPark Comedy Drama Romance bus stop college community scooter speech class
Carrie,Kimberly Peirce,100,Chloë Grace Moretz,Judy Greer,Portia Doubleday,35266619,Drama Fantasy Horror,outcast prom self injury telekinesis tragic event,30000000,2013,outcast prom self injury telekinesis tragic event,KimberlyPeirce ChloëGraceMoretz JudyGreer PortiaDoubleday Drama Fantasy Horror outcast prom self injury telekinesis tragic event
Take the Lead,Liz Friedlander,118,Alfre Woodard,Yaya DaCosta,Jasika Nicole,34703228,Drama Music,ballroom dance dance teacher student teacher,30000000,2006,ballroom dance teacher student,LizFriedlander AlfreWoodard YayaDaCosta JasikaNicole Drama Music ballroom dance teacher student
Entourage,,28,Debi Mazar,Kevin Connolly,Kevin Dillon,49263404,Comedy Drama,actor fame friendship between men hollywood california sitcom,30000000,2015,actor fame friendship men hollywood california sitcom, DebiMazar KevinConnolly KevinDillon Comedy Drama actor fame friendship men hollywood california sitcom
Gridiron Gang,Phil Joanou,125,Dwayne Johnson,Jurnee Smollett-Bell,Kevin Dunn,38432823,Crime Drama Sport,alliterative title football football coach football practice football team,30000000,2006,alliterative title football coach practice team,PhilJoanou DwayneJohnson JurneeSmollett-Bell KevinDunn Crime Drama Sport alliterative title football coach practice team
What's the Worst That Could Happen?,Sam Weisman,94,Bernie Mac,Larry Miller,Richard Schiff,32095318,Comedy Crime,businessman ring thief vulgarity washington d.c.,45000000,2001,businessman ring thief vulgarity washington c,SamWeisman BernieMac LarryMiller RichardSchiff Comedy Crime businessman ring thief vulgarity washington c
9,Shane Acker,79,Martin Landau,Alan Oppenheimer,Tom Kane,31743332,Action Adventure Animation Drama Mystery Sci-Fi Thriller,hope key machine number rag doll,30000000,2009,hope key machine number rag doll,ShaneAcker MartinLandau AlanOppenheimer TomKane Action Adventure Animation Drama Mystery Sci-Fi Thriller hope key machine number rag doll
Side Effects,Steven Soderbergh,106,Channing Tatum,David Costabile,Katie Lowes,32154410,Crime Drama Thriller,clinical trial female protagonist neuropharmacology psychiatrist side effect,30000000,2013,clinical trial female protagonist neuropharmacology psychiatrist side effect,StevenSoderbergh ChanningTatum DavidCostabile KatieLowes Crime Drama Thriller clinical trial female protagonist neuropharmacology psychiatrist side effect
The Prince and Me,Martha Coolidge,111,Devin Ratray,Miranda Richardson,Luke Mably,28165882,Comedy Family Romance,denmark king love prince wisconsin,0,2004,denmark king love prince wisconsin,MarthaCoolidge DevinRatray MirandaRichardson LukeMably Comedy Family Romance denmark king love prince wisconsin
Winnie the Pooh,Stephen J. Anderson,63,Craig Ferguson,Robert Lopez,Huell Howser,26687172,Adventure Animation Comedy Family Musical,disney owl rabbit sequel tiger,30000000,2011,disney owl rabbit sequel tiger,StephenJ.Anderson CraigFerguson RobertLopez HuellHowser Adventure Animation Comedy Family Musical disney owl rabbit sequel tiger
Dumb and Dumberer: When Harry Met Lloyd,Troy Miller,85,Elden Henson,Mimi Rogers,Cheri Oteri,26096584,Comedy,1980s buddy high school prequel to cult favorite teenager,19000000,2003,1980s buddy high school prequel cult favorite teenager,TroyMiller EldenHenson MimiRogers CheriOteri Comedy 1980s buddy high school prequel cult favorite teenager
Bulworth,Warren Beatty,108,Warren Beatty,Kirk Baltz,Graham Beckel,26525834,Comedy Drama Romance,hip hop liberal politics senator truth,30000000,1998,hip hop liberal politics senator truth,WarrenBeatty WarrenBeatty KirkBaltz GrahamBeckel Comedy Drama Romance hip hop liberal politics senator truth
Get on Up,Tate Taylor,139,Tika Sumpter,Josh Hopkins,Aunjanue Ellis,30513940,Biography Drama Music,1970s 1980s african american breaking the fourth wall mother son relationship,30000000,2014,1970s 1980s african american breaking fourth wall mother son relationship,TateTaylor TikaSumpter JoshHopkins AunjanueEllis Biography Drama Music 1970s 1980s african american breaking fourth wall mother son relationship
One True Thing,Carl Franklin,127,Meryl Streep,William Hurt,Tom Everett Scott,23209440,Drama,cancer job love new york professor,30000000,1998,cancer job love new york professor,CarlFranklin MerylStreep WilliamHurt TomEverettScott Drama cancer job love new york professor
Virtuosity,Brett Leonard,106,Denzel Washington,Costas Mandylor,Traci Lords,24048000,Action Crime Sci-Fi Thriller,android ex cop serial killer virtual character come to life virtual reality,30000000,1995,android ex cop serial killer virtual character come life reality,BrettLeonard DenzelWashington CostasMandylor TraciLords Action Crime Sci-Fi Thriller android ex cop serial killer virtual character come life reality
My Super Ex-Girlfriend,Ivan Reitman,95,Rainn Wilson,Eddie Izzard,Wanda Sykes,22526144,Comedy Romance Sci-Fi,architect boyfriend girlfriend relationship superhero superhero spoof supernatural power,30000000,2006,architect boyfriend girlfriend relationship superhero spoof supernatural power,IvanReitman RainnWilson EddieIzzard WandaSykes Comedy Romance Sci-Fi architect boyfriend girlfriend relationship superhero spoof supernatural power
Deliver Us from Evil,Scott Derrickson,118,Olivia Munn,Dorian Missick,Edgar Ramírez,30523568,Horror Mystery Thriller,confession demonic possession exorcism flickering light priest,30000000,2014,confession demonic possession exorcism flickering light priest,ScottDerrickson OliviaMunn DorianMissick EdgarRamírez Horror Mystery Thriller confession demonic possession exorcism flickering light priest
Sanctum,Alister Grierson,108,Ioan Gruffudd,Rhys Wakefield,Richard Roxburgh,23070045,Adventure Drama Thriller,cave expedition panic rebreather underwater,30000000,2011,cave expedition panic rebreather underwater,AlisterGrierson IoanGruffudd RhysWakefield RichardRoxburgh Adventure Drama Thriller cave expedition panic rebreather underwater
Little Black Book,Nick Hurran,105,Holly Hunter,Kevin Sussman,Dave Annable,20422207,Comedy Drama Romance,electronic devices gynecologist little black book plan set up,35000000,2004,electronic device gynecologist little black book plan set,NickHurran HollyHunter KevinSussman DaveAnnable Comedy Drama Romance electronic device gynecologist little black book plan set
The Five-Year Engagement,Nicholas Stoller,131,Alison Brie,Jacki Weaver,David Paymer,28644770,Comedy Romance,kissing while having sex kitchen reference to princess diana wedding band wedding ring,30000000,2012,kissing sex kitchen reference princess diana wedding band ring,NicholasStoller AlisonBrie JackiWeaver DavidPaymer Comedy Romance kissing sex kitchen reference princess diana wedding band ring
Mr 3000,Charles Stone III,104,Bernie Mac,Chris Noth,Paul Sorvino,21800302,Comedy Drama Romance Sport,baseball baseball movie cartoon on tv dodge viper retirement,30000000,2004,baseball movie cartoon tv dodge viper retirement,CharlesStoneIII BernieMac ChrisNoth PaulSorvino Comedy Drama Romance Sport baseball movie cartoon tv dodge viper retirement
The Next Three Days,Paul Haggis,133,Olivia Wilde,Daniel Stern,Aisha Hinds,21129348,Crime Drama Romance Thriller,argument evidence fingerprints murder murder weapon,35000000,2010,argument evidence fingerprint murder weapon,PaulHaggis OliviaWilde DanielStern AishaHinds Crime Drama Romance Thriller argument evidence fingerprint murder weapon
Ultraviolet,Kurt Wimmer,94,Milla Jovovich,Cameron Bright,Nick Chinlund,18500966,Action Horror Sci-Fi Thriller,boy disease hemophagia speed vampire,30000000,2006,boy disease hemophagia speed vampire,KurtWimmer MillaJovovich CameronBright NickChinlund Action Horror Sci-Fi Thriller boy disease hemophagia speed vampire
Assault on Precinct 13,Jean-François Richet,109,Brian Dennehy,Drea de Matteo,Hugh Dillon,19976073,Action Crime Drama Thriller,criminal mobster new year's eve police sergeant,20000000,2005,criminal mobster new year eve police sergeant,Jean-FrançoisRichet BrianDennehy DreadeMatteo HughDillon Action Crime Drama Thriller criminal mobster new year eve police sergeant
The Replacement Killers,Antoine Fuqua,96,Mira Sorvino,Clifton Collins Jr.,Patrick Kilpatrick,18967571,Action Crime Thriller,forger hitman passport police replacement,30000000,1998,forger hitman passport police replacement,AntoineFuqua MiraSorvino CliftonCollinsJr. PatrickKilpatrick Action Crime Thriller forger hitman passport police replacement
Fled,Kevin Hooks,105,Salma Hayek,Stephen Baldwin,Will Patton,17100000,Action Adventure Crime Drama Romance,disk floppy disk mafia prison prisoner,25000000,1996,disk floppy mafia prison prisoner,KevinHooks SalmaHayek StephenBaldwin WillPatton Action Adventure Crime Drama Romance disk floppy mafia prison prisoner
Eight Legged Freaks,Ellory Elkayem,99,Scarlett Johansson,Doug E. Doug,Riley Smith,17266505,Action Comedy Horror,creature feature human versus spider spider spider feature woman sheriff,30000000,2002,creature feature human versus spider woman sheriff,ElloryElkayem ScarlettJohansson DougE.Doug RileySmith Action Comedy Horror creature feature human versus spider woman sheriff
